Timestamp,Data,Target,Prediction
Mon Oct 09 12:07:33 2017,14,14,14.086157
Mon Oct 09 12:07:34 2017,14,14,14.080059
Mon Oct 09 12:07:34 2017,14,14,14.082269
Mon Oct 09 12:07:35 2017,14,14,14.075488
Mon Oct 09 12:07:35 2017,14,14,14.056111
Mon Oct 09 12:07:36 2017,13,14,14.107117
Mon Oct 09 12:07:36 2017,14,14,14.071031
Mon Oct 09 12:07:37 2017,14,14,14.090684
Mon Oct 09 12:07:37 2017,14,14,14.055402
Mon Oct 09 12:07:38 2017,14,14,14.072499
Mon Oct 09 12:07:38 2017,14,14,14.079881
Mon Oct 09 12:07:39 2017,14,14,14.0844345
Mon Oct 09 12:07:39 2017,14,14,14.066108
Mon Oct 09 12:07:40 2017,14,14,14.083334
Mon Oct 09 12:07:40 2017,14,14,14.058681
Mon Oct 09 12:07:41 2017,14,14,14.066082
Mon Oct 09 12:07:41 2017,14,13,14.070355
Mon Oct 09 12:07:42 2017,14,14,13.644952
Mon Oct 09 12:07:42 2017,14,14,13.759676
Mon Oct 09 12:07:43 2017,14,14,13.885393
Mon Oct 09 12:07:43 2017,14,14,13.934023
Mon Oct 09 12:07:44 2017,13,14,13.979717
Mon Oct 09 12:07:44 2017,13,14,14.054919
Mon Oct 09 12:07:45 2017,13,14,14.106975
Mon Oct 09 12:07:45 2017,13,14,14.141052
Mon Oct 09 12:07:46 2017,13,14,14.132086
Mon Oct 09 12:07:46 2017,13,14,14.129177
Mon Oct 09 12:07:47 2017,13,14,14.111658
Mon Oct 09 12:07:48 2017,13,14,14.125825
Mon Oct 09 12:07:48 2017,13,14,14.141185
Mon Oct 09 12:07:49 2017,13,14,14.107341
Mon Oct 09 12:07:49 2017,14,14,14.113318
Mon Oct 09 12:07:50 2017,14,14,14.087804
Mon Oct 09 12:07:50 2017,13,14,14.130404
Mon Oct 09 12:07:51 2017,14,13,14.071659
Mon Oct 09 12:07:51 2017,14,14,13.674472
Mon Oct 09 12:07:52 2017,14,14,13.756426
Mon Oct 09 12:07:52 2017,14,14,13.8531065
Mon Oct 09 12:07:53 2017,14,14,13.93523
Mon Oct 09 12:07:53 2017,14,14,13.979593
Mon Oct 09 12:07:54 2017,14,14,14.034227
Mon Oct 09 12:07:54 2017,14,14,14.074809
Mon Oct 09 12:07:55 2017,14,14,14.100247
Mon Oct 09 12:07:55 2017,14,14,14.1222
Mon Oct 09 12:07:56 2017,14,14,14.126253
Mon Oct 09 12:07:56 2017,14,14,14.088964
Mon Oct 09 12:07:57 2017,14,14,14.078862
Mon Oct 09 12:07:57 2017,14,14,14.112881
Mon Oct 09 12:07:58 2017,14,14,14.09472
Mon Oct 09 12:07:58 2017,14,14,14.104209
Mon Oct 09 12:07:58 2017,14,14,14.0897255
Mon Oct 09 12:07:59 2017,14,14,14.090228
Mon Oct 09 12:07:59 2017,14,14,14.0836525
Mon Oct 09 12:08:00 2017,14,13,14.069783
Mon Oct 09 12:08:00 2017,14,13,13.654433
Mon Oct 09 12:08:01 2017,14,14,13.319743
Mon Oct 09 12:08:01 2017,14,14,13.5149555
Mon Oct 09 12:08:02 2017,14,14,13.689588
Mon Oct 09 12:08:02 2017,14,14,13.842984
Mon Oct 09 12:08:03 2017,14,13,13.923432
Mon Oct 09 12:08:03 2017,14,14,13.614108
Mon Oct 09 12:08:04 2017,14,14,13.776243
Mon Oct 09 12:08:04 2017,14,13,13.894349
Mon Oct 09 12:08:05 2017,14,13,13.553476
Mon Oct 09 12:08:06 2017,14,14,13.305986
Mon Oct 09 12:08:06 2017,14,14,13.543549
Mon Oct 09 12:08:07 2017,14,14,13.768672
Mon Oct 09 12:08:07 2017,14,14,13.934306
Mon Oct 09 12:08:08 2017,14,14,14.053562
Mon Oct 09 12:08:08 2017,13,14,14.140749
Mon Oct 09 12:08:09 2017,13,13,14.1890955
Mon Oct 09 12:08:09 2017,13,13,13.756298
Mon Oct 09 12:08:10 2017,13,13,13.460505
Mon Oct 09 12:08:10 2017,13,13,13.217791
Mon Oct 09 12:08:11 2017,13,14,13.016013
Mon Oct 09 12:08:11 2017,13,14,13.358699
Mon Oct 09 12:08:12 2017,13,14,13.622025
Mon Oct 09 12:08:12 2017,13,14,13.860096
Mon Oct 09 12:08:13 2017,13,14,13.988009
Mon Oct 09 12:08:13 2017,12,13,14.12949
Mon Oct 09 12:08:14 2017,13,14,13.7436495
Mon Oct 09 12:08:14 2017,13,13,13.886282
Mon Oct 09 12:08:15 2017,13,13,13.53336
Mon Oct 09 12:08:15 2017,13,13,13.29491
Mon Oct 09 12:08:16 2017,13,14,13.080321
Mon Oct 09 12:08:16 2017,13,13,13.419263
Mon Oct 09 12:08:17 2017,13,14,13.281504
Mon Oct 09 12:08:17 2017,13,14,13.541293
Mon Oct 09 12:08:18 2017,12,13,13.815884
Mon Oct 09 12:08:18 2017,14,13,13.587472
Mon Oct 09 12:08:19 2017,13,14,13.415267
Mon Oct 09 12:08:19 2017,14,13,13.644159
Mon Oct 09 12:08:20 2017,14,13,13.436985
Mon Oct 09 12:08:20 2017,14,14,13.219435
Mon Oct 09 12:08:21 2017,14,13,13.530039
Mon Oct 09 12:08:21 2017,14,14,13.39354
Mon Oct 09 12:08:22 2017,14,13,13.650971
Mon Oct 09 12:08:22 2017,14,13,13.437553
Mon Oct 09 12:08:23 2017,14,14,13.307339
Mon Oct 09 12:08:23 2017,14,14,13.603509
Mon Oct 09 12:08:24 2017,14,14,13.824561
Mon Oct 09 12:08:25 2017,14,14,13.97678
Mon Oct 09 12:08:25 2017,14,13,14.088456
Mon Oct 09 12:08:26 2017,14,13,13.730242
Mon Oct 09 12:08:26 2017,14,13,13.478441
Mon Oct 09 12:08:27 2017,14,14,13.25587
Mon Oct 09 12:08:27 2017,14,14,13.494215
Mon Oct 09 12:08:28 2017,14,13,13.719768
Mon Oct 09 12:08:28 2017,14,13,13.487442
Mon Oct 09 12:08:29 2017,14,13,13.273478
Mon Oct 09 12:08:29 2017,14,14,13.183115
Mon Oct 09 12:08:30 2017,14,14,13.477677
Mon Oct 09 12:08:30 2017,14,13,13.699694
Mon Oct 09 12:08:31 2017,14,13,13.5101385
Mon Oct 09 12:08:31 2017,14,13,13.327178
Mon Oct 09 12:08:32 2017,14,13,13.200057
Mon Oct 09 12:08:32 2017,14,13,13.120664
Mon Oct 09 12:08:33 2017,14,14,12.99814
Mon Oct 09 12:08:33 2017,14,14,13.434422
Mon Oct 09 12:08:34 2017,14,13,13.707053
Mon Oct 09 12:08:34 2017,14,14,13.518745
Mon Oct 09 12:08:35 2017,14,14,13.76429
Mon Oct 09 12:08:35 2017,14,13,14.01118
Mon Oct 09 12:08:36 2017,14,14,13.71267
Mon Oct 09 12:08:36 2017,14,14,13.900402
Mon Oct 09 12:08:37 2017,14,13,13.952131
Mon Oct 09 12:08:37 2017,14,14,13.677595
Mon Oct 09 12:08:38 2017,14,13,13.808692
Mon Oct 09 12:08:38 2017,14,13,13.520647
Mon Oct 09 12:08:39 2017,14,14,13.28695
Mon Oct 09 12:08:39 2017,14,13,13.550401
Mon Oct 09 12:08:40 2017,14,13,13.35195
Mon Oct 09 12:08:40 2017,14,13,13.183716
Mon Oct 09 12:08:41 2017,14,13,13.080806
Mon Oct 09 12:08:41 2017,14,13,13.004826
Mon Oct 09 12:08:42 2017,14,13,12.955406
Mon Oct 09 12:08:43 2017,13,13,12.953151
Mon Oct 09 12:08:43 2017,14,13,12.937173
Mon Oct 09 12:08:43 2017,14,13,12.9478245
Mon Oct 09 12:08:44 2017,14,13,12.994962
Mon Oct 09 12:08:44 2017,14,13,12.9961605
Mon Oct 09 12:08:45 2017,14,14,13.012478
Mon Oct 09 12:08:45 2017,14,13,13.460055
Mon Oct 09 12:08:46 2017,14,13,13.389948
Mon Oct 09 12:08:46 2017,14,13,13.294967
Mon Oct 09 12:08:47 2017,14,13,13.211004
Mon Oct 09 12:08:47 2017,14,14,13.217319
Mon Oct 09 12:08:48 2017,14,13,13.560434
Mon Oct 09 12:08:48 2017,14,14,13.41533
Mon Oct 09 12:08:49 2017,14,13,13.760311
Mon Oct 09 12:08:49 2017,14,13,13.539727
Mon Oct 09 12:08:50 2017,14,13,13.38558
Mon Oct 09 12:08:50 2017,14,14,13.268502
